album_id,name,release_date,total_tracks,url
10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,2024-08-16,1,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,2024-05-17,10,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,2024-08-23,12,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH
15XcLhiVMlSOipUddTNDnr,MUSE,2024-07-19,7,https://open.spotify.com/album/15XcLhiVMlSOipUddTNDnr
2IRxVVqbSbqHJo8Zx50LYn,Timeless,2024-09-27,1,https://open.spotify.com/album/2IRxVVqbSbqHJo8Zx50LYn
1WAjjRMfZjEXtB0lQrAw6Q,"Good Luck, Babe!",2024-04-05,1,https://open.spotify.com/album/1WAjjRMfZjEXtB0lQrAw6Q
5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido,2024-06-21,1,https://open.spotify.com/album/5ylbxH7EqpsmHZCRuiYewS
6W0Gabv5f3ugnckc6YgfJQ,The Emptiness Machine,2024-09-05,1,https://open.spotify.com/album/6W0Gabv5f3ugnckc6YgfJQ
168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,2024-04-05,15,https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm
0DLvFVIfwt3OHdK9kGeEM3,"Where I've Been, Isn't Where I'm Going",2024-05-31,12,https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3
6iu2XwoDlKg0VYte9qAbnr,I Love You.,2013-04-19,12,https://open.spotify.com/album/6iu2XwoDlKg0VYte9qAbnr
48qd9sU3xqYJbKaxHCciJL,Unreal Unearth: Unaired,2024-08-19,23,https://open.spotify.com/album/48qd9sU3xqYJbKaxHCciJL
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,https://open.spotify.com/album/7nacKlk586eLRBSIsrk9DB
68CN2LzY8MoxO2udy2C22e,Sailor Song,2024-07-26,1,https://open.spotify.com/album/68CN2LzY8MoxO2udy2C22e
3Su6Sgi0YjcUFuCzjLKYYq,Heavy Is the Crown,2024-09-24,2,https://open.spotify.com/album/3Su6Sgi0YjcUFuCzjLKYYq
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,https://open.spotify.com/album/7tzVd1fwkxsorytCBjEJkU
3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,2024-09-20,17,https://open.spotify.com/album/3C5uwdRE5QRoXSGPPxpDd4
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ
3ThlxfLSy4bfKzxWqmC7VN,Guess featuring Billie Eilish,2024-08-01,1,https://open.spotify.com/album/3ThlxfLSy4bfKzxWqmC7VN
5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,2024-03-08,13,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK
4BbsHmXEghoPPevQjPnHXx,F-1 Trillion,2024-08-15,18,https://open.spotify.com/album/4BbsHmXEghoPPevQjPnHXx
6MikZBKCtKfPM4439yzBRz,EL COMIENZO,2024-08-09,7,https://open.spotify.com/album/6MikZBKCtKfPM4439yzBRz
56bdWeO40o3WfAD2Lja4dl,The Secret of Us,2024-06-21,13,https://open.spotify.com/album/56bdWeO40o3WfAD2Lja4dl
0XA403JTounqFh2owquBXu,Diet Pepsi,2024-08-09,1,https://open.spotify.com/album/0XA403JTounqFh2owquBXu
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,2023-09-22,14,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ
2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,2017-07-21,14,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o
4JDXBZdRPId4devseaAOKH,DECIDE,2022-09-16,13,https://open.spotify.com/album/4JDXBZdRPId4devseaAOKH
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,2024-05-04,1,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ
27GWSFRITD8JJcSGMgEfTN,INCÓMODO,2024-08-22,21,https://open.spotify.com/album/27GWSFRITD8JJcSGMgEfTN
4sD1qg4jwTZR4mvR4Iflk5,Strange Trails,2015-04-06,14,https://open.spotify.com/album/4sD1qg4jwTZR4mvR4Iflk5
2Z1gnUf3nbn6DtwZSUIH54,MILLION DOLLAR BABY,2024-04-26,2,https://open.spotify.com/album/2Z1gnUf3nbn6DtwZSUIH54
0mV9Pfr1GfoZLkp1EAau9P,Embrace It,2024-08-23,1,https://open.spotify.com/album/0mV9Pfr1GfoZLkp1EAau9P
4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-09-16,13,https://open.spotify.com/album/4Gfnly5CzMJQqkUFfoHaP3
2lIzIH2mQQ0ItgkJKefQMp,MJ,2024-09-12,2,https://open.spotify.com/album/2lIzIH2mQQ0ItgkJKefQMp
5nzSCZ7NhKvAysI0tmNOdD,yustyna,2024-07-11,14,https://open.spotify.com/album/5nzSCZ7NhKvAysI0tmNOdD
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq
63IolVUykZCHMlu2zu9jHS,THE FIRST TIME,2023-11-10,20,https://open.spotify.com/album/63IolVUykZCHMlu2zu9jHS
5pSk3c3wVwnb2arb6ohCPU,GOLDEN,2023-11-03,11,https://open.spotify.com/album/5pSk3c3wVwnb2arb6ohCPU
7sYd6KDHefklNf94RmND8g,Viva La Vida or Death and All His Friends,2008-06-12,10,https://open.spotify.com/album/7sYd6KDHefklNf94RmND8g
0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,2023-12-01,10,https://open.spotify.com/album/0lgs2Sa82lyX89nBUWyUy6
6Yw4204wbgmpsGTzjXBhYD,Big Dawgs,2024-07-09,1,https://open.spotify.com/album/6Yw4204wbgmpsGTzjXBhYD
5kvw1bAOvzJdNi4hdgfaNf,ÉXODO,2024-06-20,24,https://open.spotify.com/album/5kvw1bAOvzJdNi4hdgfaNf
3VNxRarx9HUI5w7DHv0TBj,Stargazing,2024-05-10,1,https://open.spotify.com/album/3VNxRarx9HUI5w7DHv0TBj
